Model,Price,Description 2,Description,City,District,Region
Айфон 13 про макс iPhone 13 pro max,330 000 тг.,"['Частное лицо', 'Марка телефона: Apple', 'Объем встроенной памяти: 128 Гб', 'Кол-во сим карт: 1 сим-карта', 'Операционная система: iOS', 'Диагональ экрана: Более 6""', 'Состояние: Новый']","iPhone 13 pro max
Айфон 13 про макс
Прошивка EAC
Состояние новое, идеал,
ни одной царапины
Цвет синий
Ёмкость 90
Память 128
Все родное, коробка, шнур","Нурмухамеда Есентаева,",,Туркестанская область
СРОЧНО Iphone 13 mini АКБ 99% 128 гб,190 000 тг.,"['Частное лицо', 'В рассрочку: Нет', 'Марка телефона: Apple', 'Объем встроенной памяти: 128 Гб', 'Кол-во сим карт: 1 сим-карта', 'Операционная система: iOS', 'Диагональ экрана: 5.1""-5.5""', 'Состояние: Б/у']","ТОРГ И ОБМЕН ЛЕСОМ

НЕ ЗВОНИТЬ

Продам iPhone 13 mini на 128 гб в отличном состоянии, телефоном пользовался бережно.","Алматы, Жетысуский район",Жетысуский район,Алматинская область
Iphone 14 Pro 128gb |0-0-12,340 000 тг.,"['Бизнес', 'В рассрочку: Все объявления', 'Марка телефона: Apple', 'Объем встроенной памяти: 128 Гб', 'Кол-во сим карт: 1 сим-карта, 2 сим-карты', 'Операционная система: iOS', 'Диагональ экрана: Более 6""', 'Состояние: Б/у']","В продаже Айфон 14 Про на 128гб в отличном состоянии. Полный комплект - коробка, телефон и зарядка. Состояние аккумулятора 88%. На гарантии от нашего магазина. Не вскрывался, не ремонтировался. Все функции полностью работают без нареканий. Face ID и TrueTone работают. Цена окончательная, за наличный расчёт по скидке за 340.000тг. Также имеется рассрочка от Kaspi до 24 месяцев

Находимся по адресу ТЦ Цум,
цокольный этаж, отдел iStore

Больше наших выгодных устройств
у нас в инстаграмме - istore_kosta","Костанай,",,Костанайская область
iPhone (айфон) 16 256gb новый,450 000 тг.,"['Бизнес', 'В рассрочку: Нет', 'Марка телефона: Apple', 'Объем встроенной памяти: 128 Гб', 'Операционная система: iOS', 'Диагональ экрана: Более 6""', 'Состояние: Новый']","iPhone (айфон) 16 256gb новый

НОВЫЙ
1 год. Гарантии

- Смотрите наши другие объявления!

- Рассмотрим варианты оценки и покупки Вашей техники по лучшей цене в Столице!

- Отправка в любую точку страны!
-Trade-in!

Адрес: Республика 5 (напротив ТД Есиль)
Сайт izitel.kz
Инстаграм: izitel.astana
Комиссионный магазин izitel","Астана, Сарыаркинский район",Сарыаркинский район,Акмолинская область
Iphone 14 темно синий,239 900 тг.,"['Бизнес', 'Марка телефона: Apple', 'Объем встроенной памяти: 256 Гб', 'Операционная система: iOS', 'Диагональ экрана: 5.1""-5.5""', 'Состояние: Б/у']","В комплекте коробка
В хорошом состояний
Акб 85
По адресу Аксай 4 17а","Алматы, Ауэзовский район",Ауэзовский район,Алматинская область
Продам iphone 12 PRO MaX 128GB,199 990 тг.,"['Частное лицо', 'В рассрочку: Нет', 'Марка телефона: Apple', 'Объем встроенной памяти: 128 Гб', 'Кол-во сим карт: 1 сим-карта', 'Операционная система: iOS', 'Диагональ экрана: Более 6""', 'Состояние: Б/у']","Продам iPhone 12 PRO MAX 128gbGb в идеальном состоянии без царапин трещин и сколов фейс айди тру тон работают в ремонте не был
Аккумулятор 89%
Стекло чехол в подарок
Возможен кредит","Петропавловск,",,Северо-Казахстанская область
"Iphone 14 pro, оригинал",390 000 тг.,"['Частное лицо', 'В рассрочку: Нет', 'Марка телефона: Apple', 'Объем встроенной памяти: 8 Гб', 'Кол-во сим карт: 1 сим-карта', 'Операционная система: iOS', 'Диагональ экрана: 4.5""-5""', 'Состояние: Б/у']","Телефон в идеальном состоянии, никаких царапин никаких сколов, родной дисплей родное стекло, все время использование был с защитным стеклом и чехлом, 256 ГБ, 86% состояние аккумулятора, брали в официальном магазине эпл, документы поищу, любые проверки приветствуются, в подарок три чехла, торг уместен реальным покупателям, обмен не интересует","Астана, Есильский район",Есильский район,Акмолинская область
IPhone 13 pro 256,270 000 тг.,"['Частное лицо', 'В рассрочку: Нет', 'Марка телефона: Apple', 'Объем встроенной памяти: 256 Гб', 'Кол-во сим карт: 1 сим-карта', 'Операционная система: iOS', 'Диагональ экрана: Более 6""', 'Состояние: Б/у']","Продается: IPhone 13 Pro

Объем встроенной памяти: 256ГБ
Емкость: 79%
Цвет: Зеленый
Чехол в подарок

Покупался новым, состояние очень добротное
Без царапин и без каких либо дефектов
Телефон не вскрывался, не топился, батарея и дисплей все в оригинале!
Фейс-айди работает
Трутон в порядке","Актобе, Электрон",Электрон,Актюбинская область
"Apple iPhone 11 Pro Max, 64 Gb ( Астана, Женис 24) л391619",160 000 тг.,"['Бизнес', 'В рассрочку: Да', 'Марка телефона: Apple', 'Объем встроенной памяти: 64 Гб', 'Кол-во сим карт: 1 сим-карта', 'Операционная система: iOS', 'Диагональ экрана: 5.1""-5.5""', 'Состояние: Б/у']","Apple iPhone 11 Pro Max, 64 Gb
В комплектации имеется коробка
Внешнее состояние хорошие 8/10
В работе минусов нет, есть сколы незначительные
номер лота 391619
Есть возможность оформить в рассрочку от Банк Центр Кредит на три мес и оформить в кредит через Жусан банк, обмена нет, цена окончательная!!!
Наш адрес г.Астана,Женис 24 , ломбард Деньги маркет
Режим работы: Будни с 10:00 до 20:00, выходные с 10:00 до 18:00 (обед с 13:00 до 14:00)

Также мы принимаем все! (ТЕЛЕФОНЫ/СМАРТФОНЫ, НОУТБУКИ/КОМПЬЮТЕРЫ, ПРИНТЕР/МОНОБЛОК, ЮВЕЛИРНЫЕ ИЗДЕЛИЯ/ЗОЛОТО, ВСЁ ВИДЫ ЭЛЕКТРОНИКИ, ЭЛЕКТРО ИНСТРУМЕНТЫ, ИНСТРУМЕНТЫ, ТЕЛЕВИЗОРЫ, ЧАСЫ и многое другое)
У нас Самые простые условия! Полная прозрачность!
САМАЯ ВЫСОКАЯ ОЦЕНКА В ГОРОДЕ! НИЗКИЕ ПРОЦЕНТЫ!Т","Астана, Байконурский",Байконурский,Акмолинская область
,,[],,,,
Apple IPhone 12 Pro,150 000 тг.,"['Частное лицо', 'Марка телефона: Apple', 'Объем встроенной памяти: 128 Гб', 'Кол-во сим карт: 1 сим-карта', 'Операционная система: iOS', 'Диагональ экрана: Более 6""', 'Состояние: Б/у']","Продаю идеальный IPhone 12 Pro, с зарядным кабелем (заводской), коробка есть, если нужна, нужно подождать (в другом городе). Никаких царапин и повреждений, НА ЭКРАНЕ ЗАЩИТНОЕ СТЕКЛО, сам экран идеальный. Торг минимальный!","Алматы, Бостандыкский район",Бостандыкский район,Алматинская область
Продажа iPhone 13 Pro 256GB,225 000 тг.,"['Бизнес', 'В рассрочку: Нет', 'Марка телефона: Apple', 'Объем встроенной памяти: 256 Гб', 'Кол-во сим карт: 1 сим-карта', 'Операционная система: iOS', 'Диагональ экрана: 4.5""-5""', 'Состояние: Б/у']","Radjabov Mobile
iPhone 13 Pro 256GB
Состояние 10/10
Комплект : есть
Гарантия ; до 3 месяцев
Instagram : Radjabov_Mobile
Рассрочки нету !!

Мы находимся по адресу торговый дом ЦУМ 0 этаж J001
Контакт 87******563","Караганда, Казыбекбийский район",Казыбекбийский район,Карагандинская область
Iphone 14 pro в отличном состоянии,350 000 тг.,"['Частное лицо', 'Марка телефона: Apple', 'Объем встроенной памяти: 256 Гб', 'Кол-во сим карт: 1 сим-карта', 'Операционная система: iOS', 'Диагональ экрана: Более 6""', 'Состояние: Б/у']","Продаем iPhone 14 Pro, 256 gb, состояние аккумулятора 87%, коробка и шнур имеется, не ремонтировался, в отличном состоянии","Астана, Есильский район",Есильский район,Акмолинская область
iPhone 14 pro/128,375 000 тг.,"['Частное лицо', 'Марка телефона: Apple', 'Объем встроенной памяти: 128 Гб', 'Кол-во сим карт: 1 сим-карта', 'Операционная система: iOS', 'Диагональ экрана: 5.55""-6""', 'Состояние: Б/у']","iPhone 14 pro/128 gb
Аккумулятор:97%
Black/черный цвет
Коробка и все документы есть
Face ID/True Tone работает отлично
Состояние идеального нет одной царапины ни одного причины
Ошибок никаких нету
В комплекте коробка/провод/чехол/maksave( с анимацией)
Цена:375000тг","Атакент,",,Туркестанская область
,,[],,,,
"iphone 13, с гарантией.",300 000 тг.,"['Частное лицо', 'В рассрочку: Нет', 'Марка телефона: Apple', 'Объем встроенной памяти: 128 Гб', 'Кол-во сим карт: 1 сим-карта', 'Операционная система: iOS', 'Диагональ экрана: Более 6""', 'Состояние: Б/у']","Продается айфон 13
128 гб
Аккумулятор 100%
Не ремонтировался. Коробка в комплекте","Бесагаш,",,Алматинская область
Айфон 14 Iphone 14,255 000 тг.,"['Частное лицо', 'В рассрочку: Нет', 'Марка телефона: Apple', 'Объем встроенной памяти: 128 Гб', 'Кол-во сим карт: 1 сим-карта', 'Операционная система: iOS', 'Диагональ экрана: 5.1""-5.5""', 'Состояние: Новый']","Покупал телефон меньше месяца назад нагарантии еще 100% акб
ОБМЕН Нет продажа Срочно ТОРГ","Аксу,",,Павлодарская область
Iphone 12 Жезказган,240 000 тг.,"['Частное лицо', 'В рассрочку: Все объявления', 'Марка телефона: Apple', 'Объем встроенной памяти: 64 Гб', 'Кол-во сим карт: 2 сим-карты', 'Операционная система: iOS', 'Диагональ экрана: Более 6""', 'Состояние: Новый']","Iphone 12
64 ГБ
Аккумулятор95%
Аккумулятор не менялся
В комплект 3 чехла
Работает идеально ничего не зависает
Торг присутсвует
На камере и также на экране есть стекло
Можно обмен на 13 128 гб с моей доплатой","Жезказган,",,Карагандинская область
Iphone 12 pro max 128gb,180 000 тг.,"['Частное лицо', 'В рассрочку: Да', 'Марка телефона: Apple', 'Кол-во сим карт: 1 сим-карта', 'Операционная система: iOS', 'Диагональ экрана: Более 6""', 'Состояние: Б/у']",Iphone 12 pro max 128gb обмен или продажа в ремонте не был не вскрывался с коробкой (обмен с моим или с вашей доплатой),"Актау, 1",1,Мангистауская область
,,[],,,,
Срочно продам iPhone xs 512гб,130 000 тг.,"['Частное лицо', 'В рассрочку: Нет', 'Марка телефона: Apple', 'Объем встроенной памяти: 512 Гб', 'Кол-во сим карт: 1 сим-карта', 'Операционная система: iOS', 'Диагональ экрана: 4.5""-5""', 'Состояние: Б/у']","Продам старый телофон так как купила новую 512гб
Телефон в идеальном состоянии
Аккумулятор 77%
Есть чуть-чуть царапины на экране
Face id работает","Абай,",,Алматинская область
Iphone 14 pro 256гб,400 000 тг.,"['Частное лицо', 'В рассрочку: Нет', 'Марка телефона: Apple', 'Объем встроенной памяти: 256 Гб, другое', 'Операционная система: iOS', 'Диагональ экрана: 5.55""-6""', 'Состояние: Б/у']",Алганымызга 1 ай болды Акша керек срочно Тап таза . Состояние батареи 100%,"Актау, 1",1,Мангистауская область
Apple Iphone 15 pro max,520 000 тг.,"['Бизнес', 'В рассрочку: Да', 'Марка телефона: Apple', 'Объем встроенной памяти: 256 Гб', 'Кол-во сим карт: 1 сим-карта', 'Операционная система: iOS', 'Диагональ экрана: Более 6""', 'Состояние: Б/у']","Мы предоставляем ЮРИДИЧЕСКУЮ ГАРАНТИЮ.

Способы оплаты:
⁃ Наличными;
⁃ В рассрочку (Kaspi 0-0-24, Jusan 0-0-24)
⁃ В Trade In (обмен с доплатой)

Можно несколькими способами оплатить (Наличными+Рассрочка)

INST: taraz_aktivlombard
Наш магазин: АКТИВ МАРКЕТ
Адрес: г Тараз. Самал 14-
напротив ресторана 《Сан-Ремо 》
Работаем без выходных с 9:00 до 22.00

Так же можно проконсультироваться на счет оценки товаров

Код: 135-223556","Талас,",,Жамбылская область
"IPhone 11 128 гб, состояние новое, не активированный",130 000 тг.,"['Бизнес', 'Марка телефона: Apple', 'Объем встроенной памяти: 128 Гб', 'Операционная система: iOS', 'Диагональ экрана: 5.1""-5.5""', 'Состояние: Новый']","Мой инстаграм аккаунте где представлены другие устройства по доступным ценам: bu.technik.almaty

IPhone 11 White Новый, не активированные.
Цвет: White
Память: 128 гб
Полная родная комплектация","Алматы, Медеуский район",Медеуский район,Алматинская область
,,[],,,,
,,[],,,,
,,[],,,,
Iphone 14 продается б/у,200 000 тг.,"['Частное лицо', 'В рассрочку: Нет', 'Марка телефона: Apple', 'Объем встроенной памяти: 128 Гб', 'Кол-во сим карт: 1 сим-карта', 'Операционная система: iOS', 'Диагональ экрана: Более 6""', 'Состояние: Б/у']","Айфон 14
128гб
Емкость 83%
Царапины жок
Каробкасы жок","Алматы, Алмалинский район",Алмалинский район,Алматинская область
iphone 11 pro 64,230 000 тг.,"['Частное лицо', 'Марка телефона: Philips', 'Объем встроенной памяти: 64 Гб', 'Кол-во сим карт: 1 сим-карта', 'Операционная система: Windows Phone', 'Диагональ экрана: 5.1""-5.5""', 'Состояние: Б/у']",Jdhxjxkxnxjeks zbzb:nmc jxdbxbxbxbzmajejt85p59******9595******858t7fbdbdbxbxnxnxnxnxn,"Туркестан,",,Туркестанская область
Iphone 13 голубой,190 000 тг.,"['Частное лицо', 'В рассрочку: Да', 'Марка телефона: Apple', 'Объем встроенной памяти: 256 Гб', 'Кол-во сим карт: 2 сим-карты', 'Операционная система: iOS', 'Диагональ экрана: 5.1""-5.5""', 'Состояние: Б/у']","iPhone 13
256gb
76%
Коробка есть","Алматы, Алмалинский район",Алмалинский район,Алматинская область
"Apple iPhone 11 Pro\512(Астана, Женис 24) лот 373931",170 000 тг.,"['Бизнес', 'В рассрочку: Все объявления', 'Марка телефона: Apple', 'Объем встроенной памяти: 512 Гб', 'Кол-во сим карт: 1 сим-карта, 2 сим-карты', 'Операционная система: iOS', 'Диагональ экрана: 4.5""-5""', 'Состояние: Б/у']","Продается Apple iPhone 11 Pro 512 GВ, Состояние аккумулятора 92. Цвет -серый . В комплекте с телефоном имеется коробка . Состояние хорошее 8\10, есть небольшие царапины на заднем стекле но в целом не заметно . Все работает отлично , минусов в работе нет . В среднем в магазине сейчас цена 200 000 тг . Номер лота 373931. Имеется оформление в кредит от Жусан банка без первоначально взноса . ОБМЕНА нет, ТОРГА нет, РАССРОЧКИ нет.
По всем вопросам пишите, звоните. Наш адрес. г. Астана , ул. Женис 24 Ломбард Деньги Маркет.
Режим работы: Будни с 10:00 до 19:00, выходные с 10:00 до 18:00 (обед с 13:00 до 14:00)
Также мы принимаем все! (ТЕЛЕФОНЫ/СМАРТФОНЫ, НОУТБУКИ/КОМПЬЮТЕРЫ, ПРИНТЕР/МОНОБЛОК, ЮВЕЛИРНЫЕ ИЗДЕЛИЯ/ЗОЛОТО, ВСЁ ВИДЫ ЭЛЕКТРОНИКИ, ЭЛЕКТРО ИНСТРУМЕНТЫ, ИНСТРУМЕНТЫ, ТЕЛЕВИЗОРЫ, ЧАСЫ и многое другое)
У нас Самые простые условия! Полная прозрачность!
САМАЯ ВЫСОКАЯ ОЦЕНКА В ГОРОДЕ! НИЗКИЕ ПРОЦЕНТЫ!","Астана, Сарыаркинский район",Сарыаркинский район,Акмолинская область
iPhone 13 mini 256gb,210 000 тг.,"['Частное лицо', 'Марка телефона: Другая марка', 'Объем встроенной памяти: 256 Гб', 'Кол-во сим карт: 1 сим-карта', 'Операционная система: iOS', 'Диагональ экрана: 4.1""-4.5""', 'Состояние: Б/у']","Продам айфон 13 мини
В пользовании находился полгода
Аккум 90проц

Есть царапина по корпусу","Алматы, Алмалинский район",Алмалинский район,Алматинская область
IPhone 14 Pro Max 1,315 000 тг.,"['Частное лицо', 'Марка телефона: Apple', 'Объем встроенной памяти: 128 Гб', 'Операционная система: iOS', 'Диагональ экрана: Более 6""', 'Состояние: Б/у']","IPhone 14 Pro Max 128gb
СОСТОЯНИЕ БАТАРЕИ 87%
Телефoн в отличном соcтоянии
Hocился с защитным стeклом и в чexле, не падал, не топился, бeз pемoнтoв, вcе в opигинале, любыe провeрки нa меcте,
В комплекте оригинал зарядка, документы, чехол, защитное стекло

B водe не был, oт вcex аккaунтoв отвязaн.

Пoкупaя телeфон у вaс eсть день на
Дeтальную пpoверку устройcтвa

Возможен небольшой торг

Boзмoжeн TRАDE-IN на ваше устройство apple","Муткенова,",,Павлодарская область
iPhone 14 128Blue,330 000 тг.,"['Частное лицо', 'В рассрочку: Нет', 'Марка телефона: Другая марка', 'Объем встроенной памяти: 128 Гб', 'Кол-во сим карт: 1 сим-карта', 'Операционная система: iOS', 'Диагональ экрана: 4.5""-5""', 'Состояние: Б/у']","Всё работает отлично, срочно деньги нужны память 128, ёмкость батареи 88","Сайрам,",,Туркестанская область
Iphone 14 128 gb iphone xr 128 gb,350 000 тг.,"['Частное лицо', 'В рассрочку: Нет', 'Марка телефона: Apple', 'Объем встроенной памяти: 128 Гб', 'Операционная система: iOS', 'Диагональ экрана: Более 6""', 'Состояние: Б/у']","Iphone 14 88% 128 gb iphone xr 77% 128 gb
Оба телефона в идеальном состоянии все родное ничего не менялось,обмен на promax не ниже 13-14","Красный Яр,",,Акмолинская область
Продам IPhone 12 PRO в хорошем состоянии. Заряд 85%,200 000 тг.,"['Частное лицо', 'В рассрочку: Нет', 'Марка телефона: Apple', 'Объем встроенной памяти: 256 Гб', 'Кол-во сим карт: 1 сим-карта', 'Операционная система: iOS', 'Диагональ экрана: 5.55""-6""', 'Состояние: Б/у']","Добавить доставку или самовывоз, для удобства покупателей","Алматы, Бостандыкский район",Бостандыкский район,Алматинская область
"Iphone 13/128 гбт Емкость 90% ,2024",193 000 тг.,"['Частное лицо', 'Марка телефона: Apple', 'Объем встроенной памяти: 128 Гб', 'Кол-во сим карт: 1 сим-карта', 'Операционная система: iOS', 'Диагональ экрана: 5.1""-5.5""', 'Состояние: Б/у']","Продам iphone 13 стекло чехол имеется коробка документ есть Телефон царапина ничего нету в идеальном состоянии

В ремонте не был Телефон ном What's аp и или позвоните.
Алмахта алатауски район","Алматы, Алатауский район",Алатауский район,Алматинская область
iPhone 12 pro max 256гб,210 000 тг.,"['Частное лицо', 'В рассрочку: Нет', 'Марка телефона: Apple', 'Объем встроенной памяти: 256 Гб', 'Кол-во сим карт: 1 сим-карта', 'Операционная система: iOS', 'Диагональ экрана: Более 6""', 'Состояние: Б/у']","ПРОДАМ Айфон 12 про мах 256гб. В идеальном состоянии ни одной царапины ни разу не вскрывал коробка всё имеется + 15 чехлов в подарок. СРОЧНО
Звонить по номеру : +7 776 а 661 а 5013","Алматы, Жетысуский район",Жетысуский район,Алматинская область
iPhone 13 128gb идеально,320 000 тг.,"['Частное лицо', 'В рассрочку: Нет', 'Марка телефона: Apple', 'Объем встроенной памяти: 128 Гб', 'Кол-во сим карт: 1 сим-карта', 'Операционная система: iOS', 'Диагональ экрана: Более 6""', 'Состояние: Б/у']","iPhone 13
Полный комплект.Аккумулятор 93.Состояние идеальный минусов нету на ремонте не был.Память 128гб.Цвет:яркий розовый.

Цена 400.000 договоримся","Алматы, Алатауский район",Алатауский район,Алматинская область
Рассрочка на Б/У iPhone 11 Pro Max 256 Gb #366924,101 000 тг.,"['Бизнес', 'Марка телефона: Apple', 'Операционная система: iOS', 'Диагональ экрана: 5.55""-6""', 'Состояние: Б/у']","Рассрочка на Б/У iPhone 11 Pro Max 256 Gb #366924. В подарок защитное стекло и чехол на ваш выбор!!! Адрес: г. Шымкент Бейбитшилик 20. У нас действует рассрочка до 24 месяцев. Заявки подаются через: Kaspi bank, Jusan bank, Halyk bank. Широкий выбор Смарфтонов всех моделей цветов и памяти! Гарантия на новые телефоны 12 месяцев, на Б/У телефоны - 30 дней. Вы можете обменять свой старый телефон на новый по программе Trade-in. Также возможен обмен на более новую модель с вашей доплатой.","Шымкент, Абайский район",Абайский район,Туркестанская область
Iphone 13 128 гб,185 000 тг.,"['Частное лицо', 'Марка телефона: Apple', 'Объем встроенной памяти: 128 Гб', 'Кол-во сим карт: 1 сим-карта', 'Операционная система: iOS', 'Диагональ экрана: 4.1""-4.5""', 'Состояние: Б/у']","вабше ремонт кормеген полный тексерип алуга болады емкост 87
90 болып турган полный айос 18 жазылганан тускен","Кызылорда,",,Кызылординская область
iPhone 13 128gig,300 000 тг.,"['Частное лицо', 'В рассрочку: Нет', 'Марка телефона: Apple', 'Объем встроенной памяти: 128 Гб', 'Кол-во сим карт: 1 сим-карта', 'Операционная система: iOS', 'Диагональ экрана: Более 6""', 'Состояние: Б/у']","Айфон 13 в идеале 128 гиг батарейка 89% телефон всегда в чехле, 3 чехла адаптер,коробка, можно в red и в кредит 340.000","Караганда, Казыбекбийский район",Казыбекбийский район,Карагандинская область
Iphone13 1 год гарантии,275 000 тг.,"['Частное лицо', 'В рассрочку: Да', 'Марка телефона: Apple', 'Объем встроенной памяти: 128 Гб', 'Кол-во сим карт: 1 сим-карта', 'Операционная система: iOS', 'Диагональ экрана: 5.1""-5.5""', 'Состояние: Б/у']","Только один месяц была на работе емкость100% розовы цвет напишите на ватсапе срочно!! Не было на ремонте хорошего состояния о рассрочку 345000 по городу доставка бесплатно адрес акатция
87*******37 можно ватсап и званок обращайтесь","Нурмухамеда Есентаева,",,Туркестанская область
,,[],,,,
Iphone 13 pro 128gb,210 000 тг.,"['Частное лицо', 'В рассрочку: Да', 'Марка телефона: Apple', 'Объем встроенной памяти: 128 Гб', 'Кол-во сим карт: 1 сим-карта', 'Операционная система: iOS', 'Диагональ экрана: 5.55""-6""', 'Состояние: Б/у']",Продам айфон 13 про 128 гб АКБ 77% . В идеальном состоянии в комплекте все есть . Все работает отлично на ремонте не был,"Астана, Нура",Нура,Акмолинская область
IPhone 14 pro max 256гб,480 000 тг.,"['Частное лицо', 'Марка телефона: Apple', 'Объем встроенной памяти: 256 Гб', 'Кол-во сим карт: 1 сим-карта', 'Операционная система: iOS', 'Диагональ экрана: Более 6""', 'Состояние: Б/у']","продам IPhone 14 pro max 256гб, в идеале пользовался 3 месяца","Астана, Есильский район",Есильский район,Акмолинская область
Продам iPhone 12 pro с гарантием,200 000 тг.,"['Частное лицо', 'В рассрочку: Нет', 'Марка телефона: Apple', 'Объем встроенной памяти: 128 Гб', 'Кол-во сим карт: 1 сим-карта', 'Операционная система: iOS', 'Диагональ экрана: 4.1""-4.5""', 'Состояние: Б/у']","Продам айфон 12 про с гарантием, имеется: зарядка оргинал, чехлы, беспроводной наушник, беспроводная зарядка. Телефон в идеальным состоянии без сколов и царапин","Березовское,",,Восточно-Казахстанская область
Продается Iphone 14 Pro,300 000 тг.,"['Частное лицо', 'В рассрочку: Нет', 'Марка телефона: Другая марка', 'Объем встроенной памяти: 256 Гб', 'Кол-во сим карт: 1 сим-карта', 'Операционная система: iOS', 'Диагональ экрана: Более 6""', 'Состояние: Б/у']","Продаются айфон 14 про, 2 шт. В идеальном состоянии, все документы коробки имеются. По всем вопросам обращаться по номеру 87******479","Талдыкорган, Микрорайон 1",Микрорайон 1,Алматинская область
"Iphone 12 pro, 256гб",165 000 тг.,"['Бизнес', 'В рассрочку: Да', 'Марка телефона: Apple', 'Объем встроенной памяти: 256 Гб', 'Кол-во сим карт: 1 сим-карта', 'Операционная система: iOS', 'Диагональ экрана: Более 6""', 'Состояние: Б/у']","В хорошем состоянии, память 256гб, в ремонте не был, камера 12 мегапикселей
Толстого 90 SMARTFON","Павлодар,",,Павлодарская область
,,[],,,,
Iphone 14 pro max 256 GB,400 000 тг.,"['Частное лицо', 'В рассрочку: Нет', 'Марка телефона: Apple', 'Объем встроенной памяти: 256 Гб', 'Кол-во сим карт: 1 сим-карта', 'Операционная система: iOS', 'Диагональ экрана: 5.1""-5.5""', 'Состояние: Б/у']",Телефон в отличном состоянии ни одной царапины всё родной 88АКБ% 256 гб коробка всё имеется кабель родной новый запечатанный звонить до 22:00,"Алматы, Жетысуский район",Жетысуский район,Алматинская область
Iphone 15 pro 256 gb,522 000 тг.,"['Бизнес', 'В рассрочку: Да', 'Марка телефона: Apple', 'Кол-во сим карт: 1 сим-карта', 'Операционная система: iOS', 'Диагональ экрана: 4.1""-4.5""', 'Состояние: Новый']","Iphone 15 Pro 256 Gb
Емкость аккумулятора:
Салем ,менің есімім Pintel.kz

-Егер бізден телефон алсаңыз төмендегі 8 сыйлық сізге беріледі

1. Новый телефон алсаңыз 1-жыл Гарантия береміз
2.Чехолын сыйлыққа береміз
3.Стекло тегін береміз
4.Icloud,аккаунт тегін жасап береміз.
5.Ескі телефондағы фото Видео *Контакты* тегін өткізіп береміз
6.Егер Айфон алсаңыз Airpods сыйлыққа береміз
7.Және ең маңыздысы 1 жыл бойы анти ударын тегін ауыстырып береміз (Қазақстанда тек қана бізде солай)
8.Ескі телефонды тапсырып жаңасын алатын болсаңыз,ескі телефоныңызды жоғары бағалаймыз!

Біздің Instagram:
Pintel.kz

Біздің TikTok: Pintel.kz
Бізде 12-24 айға бөліп төлеуге алсаңызда болады:

Kaspi bank,
Halyk bank","Актау, 1",1,Мангистауская область
Iphone 13 128 Гб Зеленый,230 000 тг.,"['Частное лицо', 'В рассрочку: Нет', 'Марка телефона: Apple', 'Объем встроенной памяти: 128 Гб', 'Кол-во сим карт: 1 сим-карта', 'Операционная система: iOS', 'Диагональ экрана: Более 6""', 'Состояние: Новый']","Продается Iphone 13,память 128 Гб,эмкость 94% очень в хорошем состоянии без царапины","Актобе, Малышка",Малышка,Актюбинская область
Продам IPhone 13!,210 000 тг.,"['Частное лицо', 'В рассрочку: Нет', 'Марка телефона: Apple', 'Объем встроенной памяти: 128 Гб', 'Кол-во сим карт: 1 сим-карта', 'Операционная система: iOS', 'Диагональ экрана: Более 6""', 'Состояние: Б/у']","Продам IPhone 13. Память: 128 GB. Цвет: розовый. Аккумулятор: 90%. Телефон в ремонте не был. Трещин и сколов нет. В идеальном состояние, пользовались аккуратно и бережно. Все функции работают. В комплекте коробка, зарядка(оригинал). Два чехла в подарок. С продажей не тороплюсь! Обмен не предлагать!","Костанай,",,Костанайская область
IPhone 14 pro max 512 gb,400 000 тг.,"['Частное лицо', 'Марка телефона: Apple', 'Объем встроенной памяти: 512 Гб', 'Кол-во сим карт: 1 сим-карта', 'Операционная система: iOS', 'Диагональ экрана: Более 6""', 'Состояние: Б/у']","На фото телефон с защитным стеклом! Без него нету царапин на экране.
87 % батарея
512 gb","Актау, 1",1,Мангистауская область
Iphone 13 pro max,250 000 тг.,"['Частное лицо', 'В рассрочку: Да', 'Марка телефона: Apple', 'Объем встроенной памяти: 128 Гб', 'Кол-во сим карт: 1 сим-карта', 'Операционная система: iOS', 'Диагональ экрана: Более 6""', 'Состояние: Б/у']","iPhone 13 Pro Max 128gb 86%
Телефон в хорошем состоянии
Царапин и сбоев нет
В комплекте оригинальная зарядка
Писать на. Ватсап","Алматы, Бостандыкский район",Бостандыкский район,Алматинская область
